0,sUn5
00,sUn5 sUn5
1,nvN2
2,sXN5
3,sAm5
4,sI-2
5,hA-3
6,hok2
7,cet2
8,pYt2
9,kAw3
10,sip2
11,sip2 ?et2
12,sip2 sXN5
13,sip2 sAm5
14,sip2 sI-2
15,sip2 hA-3
16,sip2 hok2
17,sip2 cet2
18,sip2 pYt2
19,sip2 kAw3
20,jI-3 sip2
21,jI-3 sip2 ?et2
22,jI-3 sip2 sXN5
23,jI-3 sip2 sAm5
24,jI-3 sip2 sI-2
25,jI-3 sip2 hA-3
26,jI-3 sip2 hok2
27,jI-3 sip2 cet2
28,jI-3 sip2 pYt2
29,jI-3 sip2 kAw3
30,sAm5 sip2
31,sAm5 sip2 ?et2
32,sAm5 sip2 sXN5
33,sAm5 sip2 sAm5
34,sAm5 sip2 sI-2
35,sAm5 sip2 hA-3
36,sAm5 sip2 hok2
37,sAm5 sip2 cet2
38,sAm5 sip2 pYt2
39,sAm5 sip2 kAw3
40,sI-2 sip2
41,sI-2 sip2 ?et2
42,sI-2 sip2 sXN5
43,sI-2 sip2 sAm5
44,sI-2 sip2 sI-2
45,sI-2 sip2 hA-3
46,sI-2 sip2 hok2
47,sI-2 sip2 cet2
48,sI-2 sip2 pYt2
49,sI-2 sip2 kAw3
50,hA-3 sip2
51,hA-3 sip2 ?et2
52,hA-3 sip2 sXN5
53,hA-3 sip2 sAm5
54,hA-3 sip2 sI-2
55,hA-3 sip2 hA-3
56,hA-3 sip2 hok2
57,hA-3 sip2 cet2
58,hA-3 sip2 pYt2
59,hA-3 sip2 kAw3
60,hok2 sip2
61,hok2 sip2 ?et2
62,hok2 sip2 sXN5
63,hok2 sip2 sAm5
64,hok2 sip2 sI-2
65,hok2 sip2 hA-3
66,hok2 sip2 hok2
67,hok2 sip2 cet2
68,hok2 sip2 pYt2
69,hok2 sip2 kAw3
70,cet2 sip2
71,cet2 sip2 ?et2
72,cet2 sip2 sXN5
73,cet2 sip2 sAm5
74,cet2 sip2 sI-2
75,cet2 sip2 hA-3
76,cet2 sip2 hok2
77,cet2 sip2 cet2
78,cet2 sip2 pYt2
79,cet2 sip2 kAw3
80,pYt2 sip2
81,pYt2 sip2 ?et2
82,pYt2 sip2 sXN5
83,pYt2 sip2 sAm5
84,pYt2 sip2 sI-2
85,pYt2 sip2 hA-3
86,pYt2 sip2 hok2
87,pYt2 sip2 cet2
88,pYt2 sip2 pYt2
89,pYt2 sip2 kAw3
90,kAw3 sip2
91,kAw3 sip2 ?et2
92,kAw3 sip2 sXN5
93,kAw3 sip2 sAm5
94,kAw3 sip2 sI-2
95,kAw3 sip2 hA-3
96,kAw3 sip2 hok2
97,kAw3 sip2 cet2
98,kAw3 sip2 pYt2
99,kAw3 sip2 kAw3
100,nvN2 rXj4
101,rXj4 ?et2
102,nvN2 rXj4 sXN5
103,nvN2 rXj4 sAm5
104,nvN2 rXj4 sI-2
105,nvN2 rXj4 hA-3
106,nvN2 rXj4 hok2
107,nvN2 rXj4 cet2
108,nvN2 rXj4 pYt2
109,nvN2 rXj4 kAw3
110,rXj4 sip2
111,rXj4 sip2 ?et2
112,rXj4 sip2 sXN5
113,rXj4 sip2 sAm5
114,rXj4 sip2 sI-2
115,rXj4 sip2 hA-3
116,rXj4 sip2 hok2
117,rXj4 sip2 cet2
118,rXj4 sip2 pYt2
119,rXj4 sip2 kAw3
120,rXj4 jI-3 sip2
200,sXN5 rXj4
201,sXN5 rXj4 ?et2
202,sXN5 rXj4 sXN5
203,sXN5 rXj4 sAm5
204,sXN5 rXj4 sI-2
205,sXN5 rXj4 hA-3
206,sXN5 rXj4 hok2
207,sXN5 rXj4 cet2
208,sXN5 rXj4 pYt2
209,sXN5 rXj4 kAw3
210,sXN5 rXj4 sip2
211,sXN5 rXj4 sip2 ?et2
212,sXN5 rXj4 sip2 sXN5
213,sXN5 rXj4 sip2 sAm5
214,sXN5 rXj4 sip2 sI-2
215,sXN5 rXj4 sip2 hA-3
216,sXN5 rXj4 sip2 hok2
217,sXN5 rXj4 sip2 cet2
218,sXN5 rXj4 sip2 pYt2
219,sXN5 rXj4 sip2 kAw3
300,sAm5 rXj4
301,sAm5 rXj4 ?et2
400,sI-2 rXj4
401,sI-2 rXj4 ?et2
500,hA-3 rXj4
501,hA-3 rXj4 ?et2
600,hok2 rXj4
601,hok2 rXj4 ?et2
700,cet2 rXj4
701,cet2 rXj4 ?et2
800,pYt2 rXj4
801,pYt2 rXj4 ?et2
900,kAw3 rXj4
901,kAw3 rXj4 ?et2
1000,nvN2 Pan1
2000,sXN5 Pan1
3000,sAm5 Pan1
4000,sI-2 Pan1
5000,hA-3 Pan1
6000,hok2 Pan1
7000,cet2 Pan1
8000,pYt2 Pan1
9000,kAw3 Pan1
10000,nvN2 mVn2
20000,sXN5 mVn2
30000,sAm5 mVn2
40000,sI-2 mVn2
50000,hA-3 mVn2
60000,hok2 mVn2
70000,cet2 mVn2
80000,pYt2 mVn2
90000,kAw3 mVn2
100000,nvN2 sYN5
200000,sXN5 sYN5
300000,sAm5 sYN5
400000,sI-2 sYN5
500000,hA-3 sYN5
600000,hok2 sYN5
700000,cet2 sYN5
800000,pYt2 sYN5
900000,kAw3 sYN5
1000000,nvN2 lAn4
2000000,sXN5 lAn4
3000000,sAm5 lAn4
4000000,sI-2 lAn4
5000000,hA-3 lAn4
6000000,hok2 lAn4
7000000,cet2 lAn4
8000000,pYt2 lAn4
9000000,kAw3 lAn4
