ก.,kX-1
กระเบื้อง,kra-1 bWN3
กระเบื้องกาบกล้วย,
กระเบื้องขนมเปียกปูน,
กระเบื้องซีเมนต์ใยหิน,
กระเบื้องดินเผา,kra-1 bWN3 din1 Paw5
กระเบื้องถ้วย,
กระเบื้องถ้วยกะลาแตก,
กระเบื้องปรุ,
กระเบื้องมุงหลังคา,
กระเบื้องยาง,kra-1 bWN3 jAN1
กระเบื้องรู,
กระเบื้องลอน,kra-1 bWN3 lXn1
กระเบื้องว่าว,
กระเบื้องหน้างัว,
กระเบื้องหน้าวัว,
กระเบื้องเกล็ดเต่า,
กระเบื้องเคลือบ,kra-1 bWN3 KlWp3
กระเบื้องโมเสก,
กระเบ็ดกระบวน,
กระเปาะ,kra-1 px-2
กระเปาะเหลาะ,
กระเป๋า,kra-1 paw5
กระเป๋ากางเกง,
กระเป๋าฉีก,kra-1 paw5 CIk2
กระเป๋าตุง,
กระเป๋าถือ,kra-1 paw5 TV-5
กระเป๋าถือสตรี,
กระเป๋าธนบัตร,
กระเป๋านักเรียน,kra-1 paw5 nak4 rJn1
กระเป๋าน้ำร้อน,kra-1 paw5 nAm4 rXn4
กระเป๋ารถ,
กระเป๋ารถเมล์,
กระเป๋าสตางค์,
กระเป๋าสะพาย,kra-1 paw5 sa?2 PAj1
กระเป๋าหนัก,kra-1 paw5 nak2
กระเป๋าหิ้ว,kra-1 paw5 hiw3
กระเป๋าเดินทาง,kra-1 paw5 dZn1 TAN1
กระเป๋าเบา,
กระเป๋าเสื้อ,kra-1 paw5 sW-3
กระเป๋าเอกสาร,kra-1 paw5 ?Ek2 ka-2 sAn5
กระเป๋าแฟบ,
กระเป๋าแห้ง,
กระเป๋าไฟฟ้า,kra-1 paw5 faj1 fA-4
กระเพลิศ,
กระเพาะ,kra-1 Px?4
กระเพาะปลา,kra-1 Px?4 plA-1
กระเพาะปัสสาวะ,kra-1 Px?4 pat2 sA-5 wa?4
กระเพาะอาหาร,kra-1 Px?4 ?A-1 hAn5
กระเพิง,
กระเพิด,
กระเพื่อม,kra-1 PWm3
กระเมาะ,
กระเย้อกระแหย่ง,
กระเรียน,kra-1 rJn1
กระเรียนทอง,
กระเรียนร้อง,
กระเรียนร้องตัวผู้,
กระเรียนร้องตัวเมีย,
กระเลียด,
กระเลือก,
กระเล็น,
กระเวน,
กระเวนกระวน,
กระเวยกระวาย,
กระเษม,
กระเษมสานต์,
กระเษียร,
กระเสด,
กระเสาะกระแสะ,kra-1 sx?2 kra-1 sy?2
กระเสียน,
กระเสียร,
กระเสือกกระสน,kra-1 sWk2 kra-1 son5
กระเส็นกระสาย,kra-1 sen5 kra-1 sAj5
กระเส่า,kra-1 saw2
กระเส่า ๆ,
กระเหนียด,
กระเหน็จ,
กระเหน็จกระแหน่,
กระเหม็ดกระเหมียด,
กระเหม็ดกระแหม่,kra-1 met2 kra-1 mY-2
กระเหม่น,
กระเหม่า,
กระเหรี่ยง,
กระเหลียก,
กระเหว่า,
กระเหิม,
กระเหี้ยนกระหือรือ,kra-1 hJn3 kra-1 hV-5 rV-1
กระเห็น,
กระเห่อ,
กระเอบ,
กระเอา,
กระเอิก,
กระเอิบ,
กระแจะ,
กระแจ๊ะ,
กระแฉก,
กระแฉ่น,
กระแชง,kra-1 CYN1
กระแชงอ่อน,
กระแชะ,
กระแซ,
กระแซง,
กระแซะ,kra-1 sy?4
กระแดะ,kra-1 dy?2
กระแดะกระแด๋,kra-1 dy?2 kra-1 dY-5
กระแด็ก,
กระแด็ก ๆ,
กระแด่ว,
กระแด่ว ๆ,
กระแด่วๆ,
กระแด้ง,
กระแด้แร่,
กระแด๊ก,
กระแต,kra-1 tY-1
กระแตวับ,
กระแตเวียน,
กระแตแต้แว้ด,
กระแตแว้ด,
กระแตไต่ไม้,
กระแทก,kra-1 TYk3
กระแทกกระทั้น,kra-1 TYk3 kra-1 Tan4
กระแทกเสียง,kra-1 TYk3 sJN5
กระแทกแดกดัน,kra-1 TYk3 dYk2 dan1
กระแทะ,kra-1 Ty?4
กระแท่น,kra-1 Tyn3
กระแนะกระแหน,kra-1 ny?4 kra-1 nY-5
กระแบก,
กระแบกงา,
กระแบะ,
กระแบะมือ,kra-1 by?2 mV-1
กระแบ่,
กระแพง,
กระแพ้ง,
กระแวน,
กระแส,kra-1 sY-5
กระแสการเงิน,
กระแสข่าว,kra-1 sY-5 KAw2
กระแสความ,kra-1 sY-5 KwAm1
กระแสความคิด,kra-1 sY-5 KwAm1 Kit4
กระแสง,
กระแสจิต,kra-1 sY-5 cit2
กระแสตรง,kra-1 sY-5 troN1
กระแสทวน,
กระแสนิยม,
กระแสน้ำ,kra-1 sY-5 nAm4
กระแสน้ำลง,
กระแสนํ้า,
กระแสพระราชดำรัส,kra-1 sY-5 Pra-4 rAt3 Ca-1 dam1 rat2
กระแสรับสั่ง,
กระแสรายวัน,kra-1 sY-5 rAj1 wan1
กระแสลม,kra-1 sY-5 lom1
กระแสสลับ,kra-1 sY-5 sa-1 lap2
กระแสสังคม,kra-1 sY-5 saN5 Kom1
กระแสะ,
กระแสเงิน,kra-1 sYN5 ?zn1
กระแสเลือด,kra-1 sY-5 lWt3
กระแสเสียง,
กระแสไฟ,kra-1 sY-5 faj1
กระแสไฟฟ้า,kra-1 sY-5 faj1 fA-4
กระแห,kra-1 hY-5
กระแหทอง,
กระแหนบ,
กระแหนะ,
กระแหนะกระแหน,kra-1 ny?2 kra-1 nY-5
กระแหน่,
กระแหมบ,
กระแหม็บ,
กระแหม็บ ๆ,
กระแหม่ว,
กระแหม่วท้อง,
กระแหย่ง,
กระแหร่ม,
กระแหล่ง,
กระแอก,
กระแอบ,
กระแอม,kra-1 ?Ym1
กระแอมกระไอ,kra-1 ?Ym1 kra-1 ?aj1
กระโงก,
กระโจน,kra-1 cOn1
กระโจม,kra-1 cOm1
กระโจมกระจาม,
กระโจมทอง,kra-1 cOm1 TXN1
กระโจมอก,kra-1 cOm1 ?ok2
กระโจมไฟ,kra-1 cOm1 faj1
กระโจ้,
กระโฉกกระเฉก,kra-1 COk2 kra-1 CEk2
กระโฉม,
กระโชก,kra-1 COk3
กระโชกกระชั้น,
กระโชกกระชาก,kra-1 COk3 kra-1 CAk3
กระโชกโฮกฮาก,kra-1 COk3 hOk3 hAk3
กระโซกระเซ,
กระโด,
กระโดก,
กระโดกกระเดก,kra-1 dOk2 kra-1 dEk2
กระโดง,kra-1 dON1
กระโดงคาง,
กระโดงแดง,
กระโดด,kra-1 dOt2
กระโดดร่ม,kra-1 dOt2 rom3
กระโดดสูง,kra-1 dOt2 sUN5
กระโดดโลดเต้น,kra-1 dOt2 lOt3 ten3
กระโดดไกล,kra-1 dOt2 klaj1
กระโดน,kra-1 dOn1
กระโดนดิน,
กระโตกกระตาก,kra-1 tOk2 kra-1 tAk2
กระโตงกระเตง,
กระโตน,
กระโถน,kra-1 TOn5
กระโถนท้องพระโรง,kra-1 TOn5 TXN4 Pra-4 rON1
กระโถนปากแตร,kra-1 TOn5 pAk2 trY-1
กระโถนฤๅษี,
กระโน้น,
กระโบม,
กระโปก,kra-1 pOk2
กระโปรง,kra-1 prON1
กระโปรงชั้นใน,kra-1 prON1 Can4 naj1
กระโปรงทอง,
กระโปรงหน้ารถ,
กระโปรงหลังรถ,kra-1 prON1 laN5 rot4
กระโรกน้ำข้าว,
กระโรกใหญ่,
กระโลง,
กระโวยกระวาย,
กระโสง,
กระโหนด,
กระโหม,
กระโหย,
กระโหย่ง,kra-1 jON2
กระโห้,kra-1 hO-3
กระใด,kra-1 daj1
กระได,kra-1 daj1
กระไดลิง,
กระไดแก้ว,
กระไตร,
กระไทชาย,
กระไน,kra-1 naj1
กระไร,kra-1 raj1
กระไส,
กระไอ,kra-1 ?aj1
กระไอกระแอม,kra-1 ?aj1 kra-1 ?Ym1
กรัก,krak2
กรักขี,
กรัง,kraN1
กรังด์ปรีซ์,
กรัชกาย,
กรัณฑก,
กรัณฑ์,
กรัณย์,
กรัน,
กรับ,krap2
กรับขยับ,
กรับคู่,
กรับพวง,krap2 PRN1
กรับเสภา,
กรัม,kram1
กราก,krAk2
กราง,
กรางเกรียง,
กราด,krAt2
กราดวง,
กราดเกรี้ยว,krAt2 krJw3
กราน,kran1
กรานกฐิน,
กรานูโลมา,
กราบ,krAp2
กราบกราน,krAp2 krAn1
กราบทูล,krAp2 TUn1
กราบบังคมทูล,krAp2 baN1 Kom1 TUn1
กราบบังคมทูลพระกรุณา,krAp2 baN1 Kom1 TUn1 Pra-4 ka-2 ru?4 nA-1
กราบพระ,
กราบลา,krAp2 lA-1
กราบเท้า,krAp2 TAw4
กราบเรียน,krAp2 rJn1
กราบไหว้,krAp2 waj3
กราฟ,krAf2
กราฟฟิก,
กราฟฟิค,
กราฟิก,kra-1 fik4
กราฟิกดีไซน์,
กราฟิกส์,
กราฟิค,
กราฟิคส์,
กราฟิตี,
กราฟิตี้,
กราม,kram1
กรามช้าง,
กรามพลู,
กรามีน,
กราย,kraj1
กราล,
กราว,kraw1
กราวด่าง,
กราวนด์,
กราวรูด,kraw1 rUt3
กราสิก,
กราไฟต์,
กรำ,kram1
กรำแดด,
กริก,krik2
กริกกริว,
กริกกรี,
กริงกริว,
กริช,krit2
กริณี,
กริด,krit2
กริน,
กรินทร์,
กรินี,
กริบ,krip2
กริม,krim1
กริยา,ka-2 ri?4 jA-1
กริยาคุณศัพท์,
กริยานุเคราะห์,kri?2 jA-1 nu?4 Krx?4
กริยาวลี,ka-2 ri?4 jA-1 wa-4 lI-1
กริยาวิเศษณานุประโยค,
กริยาวิเศษณ์,ka-2 ri?4 jA-1 wi?4 sEt2
กริยาวิเศษณ์วลี,
กริยาสกรรม,kri?2 jA-1 sa-1 kam1
กริยาอกรรม,
กริลล์,
กริว,
กริวกราว,
กริวลาย,
กริ่ง,kriN2
กริ่งเกรง,kriN2 krEN1
กริ่งใจ,kriN2 caj1
กริ่ม,krim2
กริ้งกริ้ว,
กริ้ว,kriw3
กริ๊ก,
กริ๊ง,
กรี,
กรีก,krIk2
กรีซ,krIs2
กรีฑา,krI-1 TA-1
กรีฑากร,
กรีฑาประเภทลาน,krI-1 TA-1 pra-1 PEt3 lAn1
กรีฑาประเภทลู่,krI-1 TA-1 pra-1 PEt3 lU-3
กรีฑาภิรมย์,
กรีฑารมย์,
กรีฑาสถาน,krI-1 TA-1 sa-1 TAn5
กรีด,krIt2
กรีดกราด,krIt2 krAt2
กรีดกราย,krIt2 krAj1
กรีดนิ้ว,krIt2 niw4
กรีดน้ำตา,
กรีดร้อง,krIt2 rXN4
กรีดเลือด,
กรีดเล็บ,
กรีดไพ่,
กรีธา,krI-1 TA-1
กรีธาทัพ,krI-1 TA-1 Tap4
กรีธาพล,
กรีน,krIn1
กรีนการ์ด,
กรีนที,
กรีนพีซ,
กรีนิช,krI-1 nit4
กรีนโซดา,
กรีษ,ka-1 rIt2
กรีส,
กรี๊ด,krIt4
กรี๊ดกร๊าด,krIt4 krAt4
กรี๊ดสลบ,
กรึกถอง,
กรึง,
กรึ่ม,
กรึ๊บ,krvp4
กรือเซะ,
กรุ,kru?2
กรุก,kruk2
กรุกกรัก,
กรุกกรู๊,
กรุง,kruN1
กรุงคาบูล,kruN1 KA-1 bUn1
กรุงธน,
กรุงธนบุรี,
กรุงพาลี,
กรุงรัตนโกสินทร์,kruN1 rat4 ta-1 na-4 kO-1 sin5
กรุงศรี,
กรุงศรีอยุธยา,kruN1 sI-5 ?a-2 jut4 jA-1
กรุงศรีฯ,
กรุงสยาม,
กรุงเก่า,kruN1 kaw2
กรุงเขมา,
กรุงเทพ,kruN1 TEp3
กรุงเทพมหานคร,kruN1 TEp3 ma-4 hA-5 na-4 KXn1
กรุงเทพฯ,kruN1 TEp3
กรุงไทย,kruN1 Taj1
กรุณ,
กรุณา,ka-2 ru?4 nA-1
กรุณาคุณ,
กรุณาทฤคุณ,
กรุณาธิคุณ,
กรุน,
กรุบ,
กรุบกริบ,
กรุย,kruj1
กรุยกราย,kruj1 krAj1
กรุยทาง,kruj1 TAN1
กรุยเกรียว,
กรุสมบัติ,kru?2 som5 bat2
กรุ่น,krun2
กรุ่ม,
กรุ้งกริ่ง,
กรุ้มกริ่ม,krum3 krim2
กรุ๊ป,krup4
กรู,krU-1
กรูด,krUt2
กรูม,
กรู๊ฟไรเดอร์,
กร็อกกร๋อย,krxk2 krXj5
กร่อน,krXn2
กร่อม,krXm2
กร่อม ๆ,krXm2 krXm2
กร่อย,krXj2
กร่าง,krAN2
กร่าย,
กร่ำ,
กร่ำกรุ่น,
กร้วม,krRm3
กร้อ,
กร้าน,krAn3
กร้าว,krAw3
กร๊วก,krRk4
กร๊วบ,
กร๊อบ,
กร๊อบแกร๊บ,
กร๊ากก,
กฤช,
กฤดยาเกียรณ,
กฤดา,
กฤดาการ,
กฤดาญชลี,
กฤดาธิการ,
กฤดาภินิหาร,
กฤดายุค,
กฤดาอัญชลี,
กฤดิ,
กฤดีกา,
กฤตติกา,
กฤตยฎีกา,
กฤตยา,
กฤติกา,
กฤติยา,
กฤษฎา,
กฤษฎาญ,
กฤษฎาญชลี,
กฤษฎาธาร,
กฤษฎาภินิหาร,krit2 sa-1 dA-1 Pi?4 ni?4 hAn5
กฤษฎี,krit2 sa-1 dI-1
กฤษฎีกา,krit2 sa-1 dI-1 kA-1
กฤษณะ,krit2 sa-1 na?4
กฤษณา,krit2 sa?2 nA-5
กฤษณ์,krit2
กล,kon1
กลฉ้อฉล,
กลด,klot2
กลดกำมะลอ,
กลดพระสุเมรุ,
กลบ,klop2
กลบกล้ำ,
กลบท,
กลบบัตรสุมเพลิง,
กลบลบ,
กลบเกลี่ย,
กลบเกลื่อน,klop2 klWn2
กลบไต๋,
กลพยาน,
กลม,klom1
กลมกลึง,
กลมกลืน,klom1 klVn1
กลมกลืนกลอน,
กลมกล่อม,klom1 klXm2
กลมดิก,klom1 dik2
กลมภะ,
กลมารยา,
กลมเกลียว,klom1 klJw1
กลมเป็นลูกมะนาว,
กลยุทธ,
กลยุทธ์,kon1 la-4 jut4
กลยุทธ์เชิงรุก,kon1 la-4 jut4 CZN1 ruk4
กลลวง,kon1 lRN1
กลละ,
กลวง,klRN1
กลวม,
กลวิธี,kon1 la-4 wi?4 TI-1
กลศ,
กลศาสตร์,kon1 la-4 sAt2
กลหาย,
กลอก,klXk2
กลอกกลับ,
กลอกกลิ้ง,klXk2 kliN3
กลอกตา,klXk2 tA-1
กลอกลูกตา,klXk2 lUk3 tA-1
กลอกแกลก,
กลอง,klXN1
กลองจีน,
กลองชนะ,
กลองชวา,
กลองชาตรี,
กลองตะโพน,
กลองติ๋ง,
กลองตุ๊ก,
กลองต๊อก,klXN1 txk4
กลองทัด,
กลองมริกัน,
กลองมลายู,
กลองยาว,klXN1 jAw1
กลองสองหน้า,
กลองสะบัดชัย,klXN1 sa?2 bat2 Caj1
กลองเถิดเทิง,
กลองเพล,
กลองเพลงยาว,
กลองแขก,
กลองโมงครุ่ม,
กลองโยน,
กลอน,klXn1
กลอนด้น,
กลอนตลาด,klXn1 ta-2 lAt2
กลอนบทละคร,
กลอนลิลิต,klXn1 li?4 lit4
กลอนสด,
กลอนสวด,
กลอนสุภาพ,
กลอนเปล่า,
กลอนเพลงยาว,klXn1 PlEN1 jAw1
กลอนแปด,klXn1 pYt2
กลอย,klXj1
กลอักษร,
กลอุบาย,kon1 ?u?2 bAj1
กลอุปกรณ์,
กลอเรีย,klX-1 rJ-1
กลัก,klak2
กลัง,
กลัด,klat2
กลัดกระดุม,klat2 kra-1 dum1
กลัดกลุ้ม,klat2 klum3
กลัดมัน,klat2 man1
กลันตัน,
กลันทก์,
กลันทะ,
กลับ,klap2
กลับกลอก,klap2 klXk2
กลับกลาย,klap2 klAj1
กลับกัน,klap2 kan1
กลับคำ,klap2 Kam1
กลับคืน,klap2 KVn1
กลับชาติมาเกิด,klap2 CAt3 mA-1 kZt2
กลับด้าน,klap2 dAn3
กลับตัว,klap2 tR-1
กลับตัวกลับใจ,klap2 tR-1 klap2 caj1
กลับตาลปัตร,klap2 tA-1 la-4 pat2
กลับบ้าน,klap2 bAn3
กลับบ้านเก่า,klap2 bAn3 kaw2
กลับมา,klap2 mA-1
กลับมาตายรัง,
กลับรถ,klap2 rot4
กลับลำ,klap2 lam1
กลับหน้ามือเป็นหลังมือ,klap2 nA-3 mV-1 pen1 laN5 mV-1
กลับหลังหัน,
กลับหัว,
กลับเกลือก,
กลับเนื้อกลับตัว,klap2 nW-4 klap2 tR-1
กลับเป็น,klap2 pen1
กลับใจ,klap2 caj1
กลับไปกลับมา,klap2 paj1 klap2 mA-1
กลัมพก,
กลัมพร,
กลัมพัก,
กลัว,klR-1
กลัวดอกพิกุลจะร่วง,
กลัวน้ำ,
กลัวผี,
กลัวลาน,klR-1 lAn1
กลัวหัวหด,klR-1 hR-5 hot2
กลัวเกรง,
กลัวเมีย,
กลัวใจ,
กลั่น,klan2
กลั่นกรอง,klan2 krXN1
กลั่นตัว,klan2 tR-1
กลั่นแกล้ง,klan2 klYN3
กลั้น,klan3
กลั้นลมหายใจ,
กลั้นวาจา,klan3 wA-1 cA-1
กลั้นหายใจ,klan3 hAj5 caj1
กลั้นใจ,klan3 caj1
กลั้ว,klR-3
กลั้วคอ,klR-3 KX-1
กลั้วเกลี้ย,klR-3 klJ-3
กลา,
กลาก,klAk2
กลากลาด,
กลาง,klAN1
กลางกรุง,klAN1 kruN1
กลางคน,klAN1 Kon1
กลางคัน,klAN1 Kan1
กลางคืน,klAN1 KVn1
กลางค่ำ,
กลางช้าง,
กลางดิน,
กลางดึก,klAN1 dvk2
กลางทาง,klAN1 TAN1
กลางทาสี,
กลางนอก,
กลางบ้าน,klAN1 bAn3
กลางปี,klAN1 pI-1
กลางฝ่ามือ,klAN1 fA-2 mV-1
กลางลำตัว,
กลางวัน,klAN1 wan1
กลางวันแสกๆ,klAN1 wan1 sYk2 sYk2
กลางวี่กลางวัน,
กลางหาว,klAN1 hAw5
กลางอากาศ,
กลางเก่ากลางใหม่,klAN1 kaw2 klAN1 maj2
กลางเดือน,klAN1 dWn1
กลางเมือง,klAN1 mWN1
กลางเวหา,klAN1 wE-1 hA-5
กลางแจ้ง,klAN1 cYN3
กลางแดด,
กลางแปลง,
กลางใจมือ,
กลางใจเมือง,
กลางๆ,
กลาด,klAt2
กลาดเกลื่อน,klAt2 klWn2
กลาบาต,
กลาป,
กลาย,klAj1
กลาย ๆ,
กลายกลอก,
กลายพันธุ์,klAj1 Pan1
กลายร่าง,klAj1 rAN3
กลายสี,
กลายเป็น,klAj1 pen1
กลายเป็นนิสัย,
กลาส,
กลาสแมน,
กลาโหม,ka-2 lA-1 hOm5
กลิงค์,
กลิ่ง,
กลิ่น,klin2
กลิ่นคาว,
กลิ่นตัว,klin2 tR-1
กลิ่นหอม,klin2 hXm5
กลิ่นอับ,klin2 ?ap2
กลิ่นอาย,klin2 ?Aj1
กลิ่นเต่า,
กลิ่นไอ,klin2 ?aj1
กลิ้ง,kliN3
กลิ้งกลอก,
กลิ้งกลางดง,
กลิ้งเกลือก,kliN3 klWk2
กลิ้งเป็นลูกมะนาว,
กลิ้ม,
กลี,
กลีบ,klIp2
กลีบขนุน,
กลีบดอก,
กลีบดอกไม้,klIp2 dXk2 mAj4
กลีบตา,
กลีบบัว,
กลีบมะเฟือง,
กลีบลำดวน,
กลีบสละ,
กลีบหิน,
กลีบเดียวกระเทียมโทน,
กลียุค,ka-2 lI-1 juk4
กลียุคศักราช,
กลีเซอรอล,
กลีเซอรีน,
กลีเซอไรด์,
กลีไซร์ไรซิน,
กลี่,
กลึง,klvN1
กลึงกล่อม,
กลึงค์,
กลึงเกลา,
กลึ้ง,
กลืน,klVn1
กลืนกัน,
กลืนน้ำลาย,
กลืนน้ำลายตัวเอง,klVn1 nAm4 lAj1 tR-1 ?EN1
กลืนเลือด,
กลืนไม่ลง,klVn1 maj3 loN1
กลืนไม่เข้าคายไม่ออก,klVn1 maj3 Kaw3 KAj1 maj3 ?Xk2
กลุตาราล,
กลุ่ม,klum2
กลุ่มก้อน,klum2 kXn3
กลุ่มคน,klum2 Kon1
กลุ่มชน,klum2 Con1
กลุ่มชาติพันธุ์,klum2 CAt3 ti-2 Pan1
กลุ่มตัวอย่าง,klum2 tR-1 jAN2
กลุ่มทำงาน,
กลุ่มทุติยภูมิ,
กลุ่มปัญญาชน,
กลุ่มผลประโยชน์,klum2 Pon5 pra-1 jOt2
กลุ่มย่อย,
กลุ่มอาชีพ,
กลุ่มอายุ,klum2 ?A-1 ju?4
กลุ่มเป้าหมาย,klum2 paw3 mAj5
กลุ่มเพื่อนบ้าน,
กลุ่มเรียกร้อง,klum2 rJk3 rXN4
กลุ่มเลือด,
กลุ่มแนวนอน,
กลุ้ม,klum3
กลุ้มรุม,klum3 rum1
กลุ้มอกกลุ้มใจ,klum3 ?ok2 klum3 caj1
กลุ้มใจ,klum3 caj1
กลูคาร์กอน,
กลูน,
กลูน์,
กลูเต็น,
กลูโคซามีน,
กลูโคซิโนเลท,
กลูโคส,klU-1 KOt3
กลู่,
กลเม็ด,kon1 la-4 met4
กลเม็ดเด็ดพราย,kon1 la-4 met4 det2 PrAj1
กลเหย,
กลโกง,kon1 kON1
กลไก,kon1 kaj1
กลไกทางการเมือง,
กลไฟ,
กล่น,
กล่อง,klXN2
กล่องดนตรี,klXN2 don1 trI-1
กล่องดำ,klXN2 dam1
กล่องดินสอ,
กล่องเพลง,
กล่องเสียง,klXN2 sJN5
กล่องโฟม,klXN2 fOm1
กล่อน,
กล่อม,klXm2
กล่อมท้อง,
กล่อมมดลูก,
กล่อมหงส์,
กล่อมหอ,klxm2 hX-5
กล่อมเกลา,klXm2 klaw1
กล่อมเกลี้ยง,klXm2 klJN3
กล่า,
กล่าว,klAw2
กล่าวขวัญ,klAw2 Kwan5
กล่าวขาน,klAw2 KAn5
กล่าวคือ,klAw2 KV-1
กล่าวตอบ,klAw2 tXp2
กล่าวถาม,
กล่าวถึง,klAw2 TvN5
กล่าวบท,
กล่าวย้ำ,klAw2 jam4
กล่าวร้าย,klAw2 rAj4
กล่าวลอยๆ,
กล่าวว่า,klAw2 wA-3
กล่าวสรุป,klAw2 sa-1 rup2
กล่าวสุนทรพจน์,klAw2 sun5 TX-1 ra-4 Pot4
กล่าวหา,klAw2 hA-5
กล่าวอีกนัยหนึ่ง,
กล่าวอ้าง,klAw2 ?AN3
กล่าวเกลี้ยง,
กล่าวเกินจริง,
กล่าวเตือน,klAw2 tWn1
กล่าวเท็จ,klAw2 Tet4
กล่าวโจมตี,
กล่าวโดยย่อ,klAw2 dOj1 jX-3
กล่าวโต้,
กล่าวโทษ,klAw2 TOt3
กล่าวโอม,
กล่ำ,
กล้วย,klRj3
กล้วย ๆ,
กล้วยกล้าย,
กล้วยงวงช้าง,
กล้วยตาก,klRj3 tAk2
กล้วยน้อย,
กล้วยน้ำว้า,klRj3 nAm4 wA-4
กล้วยน้ำว้าลูกไส้ดำ,
กล้วยบวชชี,klRj3 bRt2 CI-1
กล้วยสั้น,
กล้วยหมูสัง,
กล้วยหอม,klRj3 hXm5
กล้วยแขก,klRj3 KYk2
กล้วยใต้,
กล้วยไข่,klRj3 Kaj2
กล้วยไม้,klRj3 mAj4
กล้วยไม้ดิน,
กล้วยๆ,
กล้อ,
กล้อง,klXN3
กล้องขยาย,klXN3 Ka-1 jAj5
กล้องจุลทรรศน์,klXN3 cun1 Tat4
กล้องดูดาว,klXN3 dU-1 dAw1
กล้องตาเรือ,
กล้องตุด,
กล้องถ่ายภาพ,klXN3 TAj2 PAp3
กล้องถ่ายรูป,klXN3 TAj2 rUp3
กล้องปริทรรศน์,
กล้องยาสูบ,klXN3 jA-1 sUp2
กล้องยาเส้น,klXN3 jA-1 sen3
กล้องระดับ,klXN3 ra?4 dap2
กล้องวงจรปิด,klXN3 woN1 cXn1 pit2
กล้องวัดมุม,klXN3 wat4 mum1
กล้องวัดระดับ,
กล้องสนาม,klXN3 sa-1 nAm5
กล้องสลัด,
กล้องสองตา,klXN3 sXN5 tA-1
กล้องสำรวจ,klXN3 sam5 rRt2
กล้องส่องกล่องเสียง,
กล้องส่องทางไกล,klXN3 sXN2 TAN1 klaj1
กล้องแกล้ง,klXN3 klYN3
กล้องโทรทรรศน์,klXN3 TO-1 ra-4 Tat4
กล้องโทรทัศน์,klXN3 TO-1 ra-4 Tat4
กล้อน,klXn3
กล้อมแกล้ม,klxm3 klym3
กล้า,klA-3
กล้านักมักบิ่น,
กล้าม,klAm3
กล้ามเนี้อ,
กล้ามเนื้อ,klAm3 nW-4
กล้ามเนื้อตา,
กล้ามเนื้อหัวใจ,
กล้าย,
กล้าหาญ,klA-3 hAn5
กล้าเผชิญ,
กล้าเสี่ยง,klA-3 sJN2
กล้าแกร่ง,klA-3 kryN2
กล้าแข็ง,klA-3 KyN5
กล้าได้กล้าเสีย,klA-3 daj3 klA-3 sJ-5
กล้าไม้,klA-3 mAj4
กล้ำ,klam3
กล้ำกระเลือก,
กล้ำกราย,klam3 krAj1
กล้ำกลืน,klam3 klVn1
กล้ำแกล่,
กล๊มกลม,
กวด,kRt2
กวดขัน,kRt2 Kan5
กวดวิชา,kRt2 wi?4 CA-1
กวน,kRn1
กวนน้ำให้ขุ่น,kRn1 nAm4 haj3 Kun2
กวนประสาท,kRn1 pra-1 sAt2
กวนอิม,kRn1 ?im1
กวนอู,
กวนเมือง,kRn1 mWN1
กวนโอ๊ย,kRn1 ?Oj4
กวนใจ,kRn1 caj1
กวม,kRm1
กวย,kRj1
กวยจั๊บ,
กวยจี๊,
กวะกวัก,kwa?2 kwak2
กวะแกว่ง,
กวัก,kwak2
กวักมือ,kwak2 mV-1
กวัด,kwat2
กวัดแกว่ง,kwat2 kwyN2
กวัดไกว,kwat2 kwaj1
กวัดไกวไสส่ง,
กวา,kwA-1
กวาง,kwAN1
กวางจุก,
กวางชะมด,
กวางตุ้ง,kwAN1 tuN3
กวางทราย,kwAN1 sAj1
กวางทอง,
กวางป่า,
กวางผา,
กวางม้า,
กวางเขน,
กวางเจา,
กวางเดินดง,
กวางแขม,
กวางโจน,
กวางโจว,
กวาด,kwAt2
กวาดตา,kwAt2 tA-1
กวาดต้อน,kwAt2 tXn3
กวาดล้าง,kwAt2 lAN4
กวาดสายตา,kwAt2 sAj5 tA-1
กวาน,
กวาว,
กวาวเครือ,
กวิน,
กวี,ka-2 wI-1
กวีกระวาด,ka-2 wI-1 kra-1 wAt3
กวีนิพนธ์,ka-2 wI-1 ni?4 Pon1
กว่า,kwA-2
กว่าง,kwAN2
กว่างโซ้ง,
กว่าชิ่น,
กว่าชื่น,
กว่าถั่วจะสุกงาก็ไหม้,
กว่าน,
กว่าเพื่อน,kwA-2 PWn3
กว้าง,kwAN3
กว้างขวาง,kwAN3 KwAN5
กว้างใหญ่,kwAN3 jaj2
กว้างไกล,
กว้างๆ,
กว้าน,kwAn3
กว้านซื้อ,kwAn3 sV-4
กว้าว,
กว๊าน,
กศ.ด.,
กศ.บ.,
กศ.ม.,
กศก.,
กศน.,kX-1 sX-5 nX-1
กษ,
กษณะ,
กษมา,
กษัตร,
กษัตรา,
กษัตราธิราช,
กษัตริยชาติ,
กษัตริยา,
กษัตริยาธิราช,
กษัตริย์,ka-1 sat2
กษัตรี,
กษัตรีย์,
กษัตรีศูร,
กษัย,
กษัยกล่อน,
กษัยน้ำ,
กษัยเลือด,
กษาปณ์,ka-2 sAp2
กษิดิ,
กษีณาศรพ,
กษีดิ,
กษีร,
กษีรธารา,
กษีรรส,
กษีระ,
กษีรามพุ,
กษีรารณพ,
กส.บ.,
กสช.,kX-1 sX-5 CX-1
กสท,
กสท.,kX-1 sX-5 TX-1
