thai,phone
ตัวยุ่ง,tV1 ju3ŋ
ตัวแย้,tV1 jY4
ตัวโย่ง,tV1 jO3ŋ
ตัวรอง,tV1 rX1ŋ
ตัวร้อน,tV1 rX4n
ตัวรักษาหน้าจอ,tV1 ra4k sA5 nA3 cX1
ตัวร้าย,tV1 rA4j
ตัวเร่ง,tV1 re3ŋ
ตัวเร่งเร้า,tV1 re3ŋ rA4w
ตัวเรือด,tV1 rR3t
ตัวเรือน,tV1 rR1n
ตัวแร็กคูน,tV1 rɛ4k KU1n
ตัวไร,tV1 ra1j
ตัวละคร,tV1 la4ʔ KX1n
ตัวเล็ก,tV1 le4k
ตัวเลข,tV1 lE3k
ตัวเลขไทย,tV1 lE3k Ta1j
ตัวเลขโรมัน,tV1 lE3k rO1 ma1n
ตัวเล่น,tV1 le3n
ตัวเลือก,tV1 lR3k
ตัวเลือด,tV1 lR3t
ตัวสะกด,tV1 sa2ʔ ko2t
ตัวสังเกต,tV1 sa5ŋ kE2t
ตัวสังเกตการณ์,tV1 sa5ŋ kE2t kA1n
ตัวสั่น,tV1 sa2n
ตัวสำคัญ,tV1 sa5m Ka1n
ตัวสำรอง,tV1 sa5m rX1ŋ
ตัวเสนียด,tV1 sa2 nJ2t
ตัวแสบ,tV1 sY2p
ตัวหนอน,tV1 nX5n
ตัวหนอนบ่อนไส้,tV1 nX5n bX2n sa3j
ตัวหนอนผีเสื้อ,tV1 nX5n PI5 sR3
ตัวหนอนไม้ไผ่,tV1 nX5n mA4j Pa2j
ตัวหนอนหัวใจ,tV1 nX5n hV5 ca1j
ตัวหนังสือ,tV1 na5ŋ sW5
ตัวหนังสือภาษาอังกฤษ,tV1 na5ŋ sW5 PA1 sA5 ʔa1ŋ kri2t
ตัวหลัก,tV1 la2k
ตัวหาร,tV1 hA5n
ตัวเหม็น,tV1 me5n
ตัวเหี้ย,tV1 hJ3
ตัวไหม,tV1 ma5j
ตัวอย่าง,tV1 jA2ŋ
ตัวอย่างเช่น,tV1 jA2ŋ Ce3n
ตัวอย่างสินค้า,tV1 jA2ŋ si5n KA4
ตัวอ่อน,tV1 ʔX2n
ตัวอ่อนในครรภ์,tV1 ʔX2n na1j Ka1n
ตัวอักษร,tV1 ʔa2k sX5n
ตัวอักษรไทย,tV1 ʔa2k sX5n Ta1j
ตัวอักษรแบบตัวหนา,tV1 ʔa2k sX5n bY2p tV1 nA5
ตัวเอ้,tV1 ʔe3ʔ
ตัวเอก,tV1 ʔE2k
ตัวเอง,tV1 ʔE1ŋ
ตัวเอน,tV1 ʔE1n
ตัวเอียง,tV1 ʔJ1ŋ
ตั้ว,tV3
ตั๊ว,tV4
ตั๋ว,tV5
ตั๋วการบิน,tV5 kA1n bi1n
ตั๋วเครื่องบิน,tV5 KrR3ŋ bi1n
ตั๋วเครื่องบินชั้นทัศนาจร,tV5 KrR3ŋ bi1n Ca4n Ta4t sa2 nA1 cX1n
ตั๋วเครื่องบินชั้นธุรกิจ,tV5 KrR3ŋ bi1n Ca4n Tu4ʔ ra4 ki2t
ตั๋วเงิน,tV5 ŋə1n
ตั๋วไป,tV5 pa1j
ตั๋วไปกลับ,tV5 pa1j kla2p
ตั๋วผี,tV5 PI5
ตั๋วไม่จำกัดเวลา,tV5 ma3j ca1m ka2t wE1 lA1
ตั๋วยืน,tV5 jW1n
ตั๋วเย็บกระดาษ,tV5 je4p kra2ʔ dA2t
ตั๋วรถโดยสาร,tV5 ro4t dO1j sA5n
ตั๋วรถไฟ,tV5 ro4t fa1j
ตั๋วรถเมล์,tV5 ro4t mE1
ตั๋วหนัง,tV5 na5ŋ
ตัวเต็ง,tV1 te1ŋ
ตัวเบียน,tV1 bJ1n
ตั้วโผ,tV3 PO5
ตา,tA1
ตากลม,tA1 klo1m
ตากล้อง,tA1 klX3ŋ
ตากะยาย,tA1 ka2ʔ jA1j
ตากุ้ง,tA1 ku3ŋ
ตากุ้งยิง,tA1 ku3ŋ ji1ŋ
ตาไก่,tA1 ka2j
ตาข่าย,tA1 KA2j
ตาขาว,tA1 KA5w
ตาเข,tA1 KE5
ตาเขียว,tA1 KJ5w
ตาคม,tA1 Ko1m
ตาค้าง,tA1 KA4ŋ
ตาคุณ,tA1 Ku1n
ตาดำ,tA1 da1m
ตาดี,tA1 dI1
ตาต่อตา,tA1 tX2 tA1
ตาตั้ง,tA1 ta3ŋ
ตาต่ำ,tA1 ta2m
ตาโต,tA1 tO1
ตาถั่ว,tA1 TV2
ตาถึง,tA1 Tɯ5ŋ
ตาเถรตก,tA1 TE5n to2k
ตาเถรตกใต้ถุน,tA1 TE5n to2k ta3j Tu5n
ตาทวด,tA1 TV3t
ตาที่ไม่เปลี่ยน,tA1 TI3 ma3j plJ2n
ตาน้ำข้าว,tA1 na4m KA3w
ตาบอด,tA1 bX2t
ตาบอดได้แว่น,tA1 bX2t da3j wY3n
ตาปรือ,tA1 prW1
ตาปลา,tA1 plA1
ตาเป็นมัน,tA1 pe1n ma1n
ตาเปล่า,tA1 plA2w
ตาแป๋ว,tA1 pY5w
ตาฝาด,tA1 fA2t
ตาพร่า,tA1 PrA3
ตาพร่ามัว,tA1 PrA3 mV1
ตาฟาง,tA1 fA1ŋ
ตาไฟฟ้า,tA1 fa1j fA4
ตามัว,tA1 mV1
ตาแมว,tA1 mY1w
ตาไม้,tA1 mA4j
ตาเยิ้ม,tA1 jZ4m
ตาล่อกแล่ก,tA1 lɔ3k lɛ3k
ตาละห้อย,tA1 la4ʔ hX3j
ตาลาย,tA1 lA1j
ตาลีตาเหลือก,tA1 lI1 tA1 lR2k
ตาสว่าง,tA1 sa2 wA2ŋ
ตาสั้น,tA1 sa3n
ตาหยี,tA1 jI5
ตาหรี่,tA1 rI2
ตาหวาน,tA1 wA5n
ตาเหล่,tA1 le2ʔ
ตาเหลือก,tA1 lR2k
ตาก,tA2k
ตากแดด,tA2k dY2t
ตากผ้า,tA2k PA3
ตากฝน,tA2k fo5n
ตากยุง,tA2k ju1ŋ
ตากหน้า,tA2k nA3
ตากอากาศ,tA2k ʔA1 kA2t
ตากสิน,tA2k si5n
ตากาล็อก,tA1 kA1 lɔ4k
ตาขอ,tA1 KX5
ตาขอเกี่ยว,tA1 KX5 kJ2w
ต่าง,tA2ŋ
ต่างกัน,tA2ŋ ka1n
ต่างกันราวฟ้ากับดิน,tA2ŋ ka1n rA1w fA4 ka2p di1n
ต่างคนต่างทำ,tA2ŋ Ko1n tA2ŋ Ta1m
ต่างจังหวัด,tA2ŋ ca1ŋ wa2t
ต่างจาก,tA2ŋ cA2k
ต่างจิตต่างใจ,tA2ŋ ci2t tA2ŋ ca1j
ต่างชาติ,tA2ŋ CA3t
ต่างดาว,tA2ŋ dA1w
ต่างด้าว,tA2ŋ dA3w
ต่างแดน,tA2ŋ dY1n
ต่างถิ่น,tA2ŋ Ti2n
ต่างประเทศ,tA2ŋ pra2ʔ TE3t
ต่างพากัน,tA2ŋ PA1 ka1n
ต่างเพศ,tA2ŋ PE3t
ต่างเมือง,tA2ŋ mR1ŋ
ต่างหาก,tA2ŋ hA2k
ต่างหู,tA2ŋ hU5
ตาชั่ง,tA1 Ca3ŋ
ตาด,tA2t
ตาตุ๊,tA1 tu4ʔ
ตาตุ่ม,tA1 tu2m
ตาเต็ง,tA1 te1ŋ
ตาเต็งค้า,tA1 te1ŋ KA4
ตาน,tA1n
ต้าน,tA3n
ต้านทาน,tA3n TA1n
ต้านรัฐบาล,tA3n ra4t Ta2 bA1n
ต้านลม,tA3n lo1m
ตานขโมย,tA1n Ka2 mO1j
ตานี,tA1 nI1
ตาบ,tA2p
ตาปี,tA1 pI1
ตาปีตาชาติ,tA1 pI1 tA1 CA3t
ตาม,tA1m
ตามกฎหมาย,tA1m ko2t mA5j
ตามกระแส,tA1m kra2ʔ sY5
ตามเกณฑ์,tA1m kE1n
ตามขวาง,tA1m KwA5ŋ
ตามความเป็นจริง,tA1m KwA1m pe1n ci1ŋ
ตามคาด,tA1m KA3t
ตามคำบอกเล่า,tA1m Ka1m bX2k la3w
ตามเคย,tA1m KZ1j
ตามจริง,tA1m ci1ŋ
ตามจีบ,tA1m cI2p
ตามใจ,tA1m ca1j
ตามใจชอบ,tA1m ca1j CX3p
ตามใจท่าน,tA1m ca1j Ta3n
ตามชายหาด,tA1m CA1j hA2t
ตามเดิม,tA1m dZ1m
ตามตรง,tA1m tro1ŋ
ตามตัว,tA1m tV1
ตามตัวอักษร,tA1m tV1 ʔa2k sX5n
ตามตำนาน,tA1m ta1m nA1n
ตามตื๊อ,tA1m tW4
ตามแต่,tA1m tY2
ตามแต่จะให้,tA1m tY2 ca2ʔ ha3j
ตามแต่ใจ,tA1m tY2 ca1j
ตามทัน,tA1m Ta1n
ตามทำนองคลองธรรม,tA1m Ta1m nX1ŋ KlX1ŋ Ta1m
ตามที่,tA1m TI3
ตามที่ได้รู้มา,tA1m TI3 da3j rU4 mA1
ตามธรรมชาติ,tA1m Ta1m ma4 CA3t
ตามธรรมดา,tA1m Ta1m ma4 dA1
ตามนั้น,tA1m na4n
ตามเนื้อผ้า,tA1m nR4 PA3
ตามแนวตะเข็บ,tA1m nY1w ta2ʔ Ke2p
ตามบริบทนี้,tA1m bX1 ri4ʔ bo2t nI4
ตามแบบ,tA1m bY2p
ตามปรกติ,tA1m pro2k ka2 ti2ʔ
ตามประเพณี,tA1m pra2ʔ PE1 nI1
ตามประสงค์,tA1m pra2ʔ so5ŋ
ตามประสาปุถุชน,tA1m pra2ʔ sA5 pu2ʔ Tu2ʔ Co1n
ตามปรารถนา,tA1m prA2t Ta2 nA5
ตามไปด้วย,tA1m pa1j dV3j
ตามมา,tA1m mA1
ตามมีตามเกิด,tA1m mI1 tA1m kZ2t
ตามไม่ทัน,tA1m ma3j Ta1n
ตามยาว,tA1m jA1w
ตามรอย,tA1m rX1j
ตามรอยพระพุทธเจ้า,tA1m rX1j Pra4ʔ Pu4t Ta4ʔ ca3w
ตามเรื่อง,tA1m rR3ŋ
ตามเรื่องตามราว,tA1m rR3ŋ tA1m rA1w
ตามล่า,tA1m lA3
ตามลำดับ,tA1m la1m da2p
ตามลำดับยศ,tA1m la1m da2p jo4t
ตามลำดับเวลา,tA1m la1m da2p wE1 lA1
ตามลำดับอักษร,tA1m la1m da2p ʔa2k sX5n
ตามลำพัง,tA1m la1m Pa1ŋ
ตามสบาย,tA1m sa2 bA1j
ตามสมควร,tA1m so5m KV1n
ตามสมควรแก่กรณีย์,tA1m so5m KV1n kY2 ka2 ra4 nI1
ตามสมควรแก่เหตุ,tA1m so5m KV1n kY2 hE2t
ตามส่วน,tA1m sV2n
ตามหา,tA1m hA5
ตามอย่าง,tA1m jA2ŋ
ตามอัตภาพ,tA1m ʔa2t ta2 PA3p
ตามอัธยาศัย,tA1m ʔa2t Ta4 jA1 sa5j
ตามอารมณ์,tA1m ʔA1 ro1m
ตามอำเภอใจ,tA1m ʔa1m PZ1 ca1j
ตามปกติ,tA1m po2k ti2ʔ
ตามประสา,tA1m pra2ʔ sA5
ตามีตามา,tA1 mI1 tA1 mA1
ตาย,tA1j
ตายคาที่,tA1j KA1 TI3
ตายโคม,tA1j KO1m
ตายจริง,tA1j ci1ŋ
ตายจริงตายละ,tA1j ci1ŋ tA1j la4ʔ
ตายใจ,tA1j ca1j
ตายด้าน,tA1j dA3n
ตายดาบหน้า,tA1j dA2p nA3
ตายตัว,tA1j tV1
ตายทั้งกลม,tA1j Ta4ŋ klo1m
ตายน้ำตื้น,tA1j nA4m tW3n
ตายปริศนา,tA1j pri2t sa2 nA5
ตายเป็นเบือ,tA1j pe1n bR1
ตายล่ะ,tA1j la3ʔ
ตายแล้ว,tA1j lY4w
ตายหมู่,tA1j mU2
ตายห่า,tA1j hA2
ตายห่าตายโหง,tA1j hA2 tA1j hO5ŋ
ตายโหง,tA1j hO5ŋ
ตายโหงตายห่า,tA1j hO5ŋ tA1j hA2
ต๊ายตาย,tA4j tA1j
ตาระวา,tA1 ra4ʔ wA1
ตาราง,tA1 rA1ŋ
ตารางกิโลเมตร,tA1 rA1ŋ ki2ʔ lO1 me4t
ตารางงาน,tA1 rA1ŋ ŋA1n
ตารางนิ้ว,tA1 rA1ŋ ni4w
ตารางเมตร,tA1 rA1ŋ me4t
ตารางวา,tA1 rA1ŋ wA1
ตารางเวลา,tA1 rA1ŋ wE1 lA1
ตารางเวลารถโดยสาร,tA1 rA1ŋ wE1 lA1 ro4t dO1j sA5n
ตารางสูตรคูณ,tA1 rA1ŋ sU2t KU1n
ตารางรถไฟ,tA1 rA1ŋ ro4t fa1j
ตาล,tA1n
ตาลปัตร,tA1 la4 pa2t
ตาสีตาสา,tA1 sI5 tA1 sA5
ตำ,ta1m
ตำข้าวสารกรอกหม้อ,ta1m KA3w sA5n krX2k mX3
ตำตา,ta1m tA1
ตำบักหุ่ง,ta1m ba2k hu2ŋ
ตำผลไม้รวม,ta1m Po5n la4 mA4j rV1m
ตำหมากหุ่ง,ta1m mA2k hu2ŋ
ต่ำ,ta2m
ต่ำกว่า,ta2m kwA2
ต่ำกว่าเกณฑ์ปกติ,ta2m kwA2 kE1n pa2 ka2 ti2ʔ
ต่ำกว่าจุดเยือกแข็ง,ta2m kwA2 cu2t jR3k Kɛ5ŋ
ต่ำกว่าปกติ,ta2m kwA2 pa2 ka2 ti2ʔ
ต่ำใจ,ta2m ca1j
ต่ำชั้นต่ำช้า,ta2m Ca4n ta2m CA4
ต่ำช้า,ta2m CA4
ต่ำช้าสามานย์,ta2m CA4 sA5 mA1n
ต่ำต้อย,ta2m tX3j
ต่ำเตี้ยติดดิน,ta2m tJ3 ti2t di1n
ต่ำทราม,ta2m sA1m
ต่ำสุด,ta2m su2t
ตำนาน,ta1m nA1n
ตำบล,ta1m bo1n
ตำแย,ta1m jY1
ตำแยช้าง,ta1m jY1 CA4ŋ
ตำแยแมว,ta1m jY1 mY1w
ตำรวจ,ta1m rV2t
ตำรวจจราจร,ta1m rV2t ca2 rA1 cX1n
ตำรวจชายแดน,ta1m rV2t CA1j dY1n
ตำรวจดับเพลิง,ta1m rV2t da2p PlZ1ŋ
ตำรวจตระเวนชายแดน,ta1m rV2t tra2ʔ wE1n CA1j dY1n
ตำรวจท่องเที่ยว,ta1m rV2t TX3ŋ TJ3w
ตำรวจทางหลวง,ta1m rV2t TA1ŋ lV5ŋ
ตำรวจเทศกิจ,ta1m rV2t TE3t sa2 ki2t
ตำรวจภูธร,ta1m rV2t PU1 TX1n
ตำรวจลับ,ta1m rV2t la4p
ตำรวจสภา,ta1m rV2t sa2 PA1
ตำรวจสันติบาล,ta1m rV2t sa5n ti2ʔ bA1n
ตำรวจสากล,ta1m rV2t sA5 ko1n
ตำรวจหญิง,ta1m rV2t ji5ŋ
ตำรวจหลวง,ta1m rV2t lV5ŋ
ตำรับ,ta1m ra2p
ตำรับตำรา,ta1m ra2p ta1m rA1
ตำรา,ta1m rA1
ตำราทำอาหาร,ta1m rA1 Ta1m ʔA1 hA5n
ตำราอาหาร,ta1m rA1 ʔA1 hA5n
ตำลึง,ta1m lɯ1ŋ
ตำหนัก,ta1m na2k
ตำหนิ,ta1m ni2ʔ
ตำหนิติเตียน,ta1m ni2ʔ ti2ʔ tJ1n
ตำหนิเพื่อแก้ไข,ta1m ni2ʔ PR3 kY3 Ka5j
ตำแหน่ง,ta1m nɛ2ŋ
ตำแหน่งที่สุดบนท้องฟ้า,ta1m nɛ2ŋ TI3 su2t bo1n TX4ŋ fA4
ตำแหน่งผู้นำ,ta1m nɛ2ŋ PU3 na1m
ติ,ti2ʔ
ติเตียน,ti2ʔ tJ1n
ติเตือน,ti2ʔ tR1n
ติง,ti1ŋ
ติ่ง,ti2ŋ
ติ่งหู,ti2ŋ hU5
ติ๋ง,ti5ŋ
ติงต๊อง,ti1ŋ tX4ŋ
ติ๊งต๊อง,ti4ŋ tX4ŋ
ติงลี่,ti1ŋ lI3
ติฉินนินทา,ti2ʔ Ci5n ni1n TA1
ติชม,ti2ʔ Co1m
ติณชาติ,ti1n na4 CA3t
ติณสูลานนท์,ti1n sU5 lA1 no1n
ติด,ti2t
ติดกระดุม,ti2t kra2ʔ du1m
ติดกัน,ti2t ka1n
ติดกับ,ti2t ka2p
ติดกับดัก,ti2t ka2p da2k
ติดกาว,ti2t kA1w
ติดเก้ง,ti2t ke3ŋ
ติดขบวนแห่,ti2t Ka2 bV1n hY2
ติดขัด,ti2t Ka2t
ติดคอ,ti2t KX1
ติดค้าง,ti2t KA4ŋ
ติดคุก,ti2t Ku4k
ติดเครื่อง,ti2t KrR3ŋ
ติดงาน,ti2t ŋA1n
ติดเงิน,ti2t ŋə1n
ติดจมูก,ti2t ca2 mU2k
ติดจะเก่า,ti2t ca2ʔ ka2w
ติดจำนอง,ti2t ca1m nX1ŋ
ติดแจ,ti2t cY1
ติดใจ,ti2t ca1j
ติดเชื้อ,ti2t CR4
ติดเชื้อไวรัส,ti2t CR4 wa1j ra4t
ติดตรา,ti2t trA1
ติดตรึงใจ,ti2t trɯ1ŋ ca1j
ติดตลก,ti2t ta2 lo2k
ติดตลาด,ti2t ta2 lA2t
ติดต่อ,ti2t tX2
ติดต่อกลับ,ti2t tX2 kla2p
ติดต่อกัน,ti2t tX2 ka1n
ติดต่อค้าขาย,ti2t tX2 KA4 KA5j
ติดต่อได้,ti2t tX2 da3j
ติดต่อทางจดหมาย,ti2t tX2 TA1ŋ co2t mA5j
ติดต่อธุรกิจ,ti2t tX2 Tu4ʔ ra4 ki2t
ติดต่อสื่อสาร,ti2t tX2 sW2 sA5n
ติดตะเกียง,ti2t ta2ʔ kJ1ŋ
ติดตะราง,ti2t ta2ʔ rA1ŋ
ติดตั้ง,ti2t ta3ŋ
ติดตังค์,ti2t ta1ŋ
ติดตัว,ti2t tV1
ติดตา,ti2t tA1
ติดตาม,ti2t tA1m
ติดตามงาน,ti2t tA1m ŋA1n
ติดเต้ง,ti2t te3ŋ
ติดธง,ti2t To1ŋ
ติดธุระ,ti2t Tu4ʔ ra4ʔ
ติดนัด,ti2t na4t
ติดบ่อน,ti2t bX2n
ติดบุหรี่,ti2t bu2ʔ rI2
ติดประกาศ,ti2t pra2ʔ kA2t
ติดปาก,ti2t pA2k
ติดป้าย,ti2t pA3j
ติดป้ายจราจร,ti2t pA3j ca2 rA1 cX1n
ติดปีก,ti2t pI2k
ติดเป้ง,ti2t pe3ŋ
ติดเป็นนิสัย,ti2t pe1n ni4ʔ sa5j
ติดผู้ชาย,ti2t PU3 CA1j
ติดผู้หญิง,ti2t PU3 ji5ŋ
ติดโผ,ti2t PO5
ติดฝน,ti2t fo5n
ติดฝิ่น,ti2t fi2n
ติดพ่อ,ti2t PX3
ติดพัน,ti2t Pa1n
ติดไฟ,ti2t fa1j
ติดไฟแดง,ti2t fa1j dY1ŋ
ติดมือ,ti2t mW1
ติดแม่,ti2t mY3
ติดไม้ติดมือ,ti2t mA4j ti2t mW1
ติดยา,ti2t jA1
ติดราชการ,ti2t rA3t Ca4 kA1n
ติดเรต,ti2t rE3t
ติดแร้ว,ti2t rY4w
ติดโรค,ti2t rO3k
ติดลบ,ti2t lo4p
ติดลม,ti2t lo1m
ติดลูก,ti2t lU3k
ติดไว้,ti2t wa4j
ติดไว้ก่อน,ti2t wa4j kX2n
ติดสตางค์,ti2t sa2 tA1ŋ
ติดสอบ,ti2t sX2p
ติดสอยห้อยตาม,ti2t sX5j hX3j tA1m
ติดสัด,ti2t sa2t
ติดสาย,ti2t sA5j
ติดสาว,ti2t sA5w
ติดสำนวน,ti2t sa5m nV1n
ติดสินบน,ti2t si5n bo1n
ติดแสตมป์,ti2t sa2 tY1m
ติดหญิง,ti2t ji5ŋ
ติดหนี้,ti2t nI3
ติดหนี้ติดสิน,ti2t nI3 ti2t si5n
ติดหนุ่ม,ti2t nu2m
ติดหม้อ,ti2t mX3
ติดหล่ม,ti2t lo2m
ติดหล่อ,ti2t lX2
ติดหลังแห,ti2t la5ŋ hY5
ติดหวัด,ti2t wa2t
ติดหิด,ti2t hi2t
ติดหู,ti2t hU5
ติดหูติดตา,ti2t hU5 ti2t tA1
ติดเหรียญ,ti2t rJ5n
ติดเหล้า,ti2t la3w
ติดเหล้างอมแงม,ti2t la3w ŋX1m ŋY1m
ติดอกติดใจ,ti2t ʔo2k ti2t ca1j
ติดอยู่ก็แต่,ti2t jU2 kX3 tY2
ติดอยู่ที่ปาก,ti2t jU2 TI3 pA2k
ติดอยู่ในกิเลส,ti2t jU2 na1j ki2ʔ lE2t
ติดอยู่ในใจ,ti2t jU2 na1j ca1j
ติดอยู่ในโลก,ti2t jU2 na1j lO3k
ติดอยู่ในหัว,ti2t jU2 na1j hV5
ติดอ่าง,ti2t ʔA2ŋ
ติดเอดส์,ti2t ʔE2t
ติดดิน,ti2t di1n
ติดหมัด,ti2t ma2t
ติ๊ต่าง,ti4ʔ tA2ŋ
ติติง,ti2ʔ ti1ŋ
ติ๊นา,ti4ʔ nA1
ติปาถะ,ti2ʔ pA1 Ta2ʔ
ติ๋ม,ti5m
ติ่มซำ,ti2m sa1m
ติมอร์,ti2ʔ mX1
ติมอร์เลสเต้,ti2ʔ mX1 lE3t te3ʔ
ติรัจฉาน,ti2ʔ ra4t CA5n
ติรัจฉานกถา,ti2ʔ ra4t CA5n ka2 TA5
ติรานา,ti2ʔ rA1 nA1
ติว,ti1w
ติวเข้ม,ti1w Ke3m
ติววิชา,ti1w wi4ʔ CA1
ติ้ว,ti3w
ติวเตอร์,ti1w tZ1
ตี,tI1
ตีก้น,tI1 ko3n
ตีกรรเชียง,tI1 ka1n CJ1ŋ
ตีกรับ,tI1 kra2p
ตีกลอง,tI1 klX1ŋ
ตีกลองเพล,tI1 klX1ŋ PE1n
ตีกลับ,tI1 kla2p
ตีกิน,tI1 ki1n
ตีเกราะเคาะไม้,tI1 krɔ2ʔ Kɔ4ʔ mA4j
ตีขนาบ,tI1 Ka2 nA2p
ตีขลุม,tI1 Klu5m
ตีไข่แตก,tI1 Ka2j tY2k
ตีไข่ใส่สี,tI1 Ka2j sa2j sI5
ตีความ,tI1 KwA1m
ตีคู่,tI1 KU3
ตีฆ้องร้องป่าว,tI1 KX4ŋ rX4ŋ pA2w
ตีงูให้กากิน,tI1 ŋU1 ha3j kA1 ki1n
ตีฉิ่ง,tI1 Ci2ŋ
ตีเช็ค,tI1 Ce4k
ตีเช็คเปล่า,tI1 Ce4k plA2w
ตีได้,tI1 da3j
ตีตรวน,tI1 trV1n
ตีตรา,tI1 trA1
ตีตลาด,tI1 ta2 lA2t
ตีตัวออกห่าง,tI1 tV1 ʔX2k hA2ŋ
ตีตั๋ว,tI1 tV5
ตีตั๋วยืน,tI1 tV5 jW1n
ตีตื้น,tI1 tW3n
ตีแตกละเอียด,tI1 tY2k la4ʔ ʔJ2t
ตีโต้,tI1 tO3
ตีทะเบียน,tI1 Ta4ʔ bJ1n
ตีบทแตก,tI1 bo2t tY2k
ตีบ้านตีเมือง,tI1 bA3n tI1 mR1ŋ
ตีปลาหน้าไซ,tI1 plA1 nA3 sa1j
ตีป่า,tI1 pA2
ตีปีกบิน,tI1 pI2k bi1n
ตีปี๊บ,tI1 pI4p
ตีแปลง,tI1 plY1ŋ
ตีแผ่,tI1 PY2
ตีฝ่า,tI1 fA2
ตีฝีปาก,tI1 fI5 pA2k
ตีฝีปากกัน,tI1 fI5 pA2k ka1n
ตีพิมพ์,tI1 Pi1m
ตีโพยตีพาย,tI1 PO1j tI1 PA1j
ตีเมือง,tI1 mR1ŋ
ตีรวน,tI1 rV1n
ตีรันฟันแทง,tI1 ra1n fa1n TY1ŋ
ตีราคา,tI1 rA1 KA1
ตีลูก,tI1 lU3k
ตีลูกล้อ,tI1 lU3k lX4
ตีวง,tI1 wo1ŋ
ตีสนิท,tI1 sa2 ni2t
ตีสอง,tI1 sX5ŋ
ตีสองครึ่ง,tI1 sX5ŋ Krɯ3ŋ
ตีสองหน้า,tI1 sX5ŋ nA3
ตีสาม,tI1 sA5m
ตีสาย,tI1 sA5j
ตีสี่,tI1 sI2
ตีเสมอ,tI1 sa2 mZ5
ตีหน้า,tI1 nA3
ตีหน้าตาย,tI1 nA3 tA1j
ตีหน้าตีตา,tI1 nA3 tI1 tA1
ตีหน้ายักษ์,tI1 nA3 ja4k
ตีหนึ่ง,tI1 nɯ2ŋ
ตีหนึ่งครึ่ง,tI1 nɯ2ŋ Krɯ3ŋ
ตีหม้อ,tI1 mX3
ตีห้า,tI1 hA3
ตีห่าง,tI1 hA2ŋ
ตีเหล็กตอนร้อน,tI1 le2k tX1n rX4n
ตีให้หลังลาย,tI1 ha3j la5ŋ lA1j
ตีอวน,tI1 ʔV1n
ตี่,tI2
ตี่จับ,tI2 ca2p
ตี๋,tI5
ตีคลุม,tI2k lu1m
ตีจาก,tI1 cA2k
ตี่จู๋เอี๊ย,tI2 cU5 ʔJ4
ตี้จู๊เอี้ย,tI3 cU4 ʔJ3
ตีซี้,tI1 sI4
ตีน,tI1n
ตีนกบ,tI1n ko2p
ตีนไก่,tI1n ka2j
ตีนเขา,tI1n Ka5w
ตีนตบ,tI1n to2p
ตีนตะขาบ,tI1n ta2ʔ KA2p
ตีนตุ๊กแก,tI1n tu4k kY1
ตีนท่า,tI1n TA3
ตีนบันได,tI1n ba1n da1j
ตีนเป็ด,tI1n pe2t
ตีนผี,tI1n PI5
ตีนแมว,tI1n mY1w
ตีนโรงตีนศาล,tI1n rO1ŋ tI1n sA5n
ตีนหน้า,tI1n nA3
ตีนหลัง,tI1n la5ŋ
ตีนอยู่ไม่สุข,tI1n jU2 ma3j su2k
ตีนกา,tI1n kA1
ตีนคู้,tI1n KU4
ตีบ,tI2p
ตีบตัน,tI2p ta1n
ตีบรรทัด,tI1 ba1n Ta4t
ตีลังกา,tI1 la1ŋ kA1
ตีสีหน้า,tI1 sI5 nA3
ตีสีหน้าปกติ,tI1 sI5 nA3 pa2 ka2 ti2ʔ
ตึก,tɯ2k
ตึกชั้นล่างที่สุด,tɯ2k Ca4n lA3ŋ TI3 su2t
ตึกแถว,tɯ2k TY5w
ตึกระฟ้า,tɯ2k ra4ʔ fA4
ตึกร้าง,tɯ2k rA4ŋ
ตึกสูง,tɯ2k sU5ŋ
ตึกอาคาร,tɯ2k ʔA1 KA1n
ตึกตัก,tɯ2k ta2k
ตึกราม,tɯ2k rA1m
ตึกรามบ้านช่อง,tɯ2k rA1m bA3n CX3ŋ
ตึกๆ,tɯ2k tɯ2k
ตึง,tɯ1ŋ
ตึงเครียด,tɯ1ŋ KrJ3t
ตึงตัว,tɯ1ŋ tV1
ตึ๊ง,tɯ4ŋ
ตึงตัง,tɯ1ŋ ta1ŋ
ตึ๋งหนืด,tɯ5ŋ nW2t
ตึ๊ดตื๋อ,tɯ4t tW5
ตืด,tW2t
ตื้ด,tW3t
ตื่น,tW2n
ตื่นขึ้น,tW2n Kɯ3n
ตื่นจากภวังค์,tW2n cA2k Pa4 wa1ŋ
ตื่นตกใจ,tW2n to2k ca1j
ตื่นตระหนก,tW2n tra2ʔ no2k
ตื่นตะลึง,tW2n ta2ʔ lɯ1ŋ
ตื่นตัว,tW2n tV1
ตื่นตาตื่นใจ,tW2n tA1 tW2n ca1j
ตื่นเต้น,tW2n te3n
ตื่นนอน,tW2n nX1n
ตื่นสาย,tW2n sA5j
ตื้น,tW3n
ตื้นเขิน,tW3n KZ5n
ตื้นลึกหนาบาง,tW3n lɯ4k nA5 bA1ŋ
ตื่นกลัว,tW2n klV1
ตื้นตัน,tW3n ta1n
ตื้นตันใจ,tW3n ta1n ca1j
ตื่นตูม,tW2n tU1m
ตื้อ,tW3
ตื้อตัน,tW3 ta1n
ตื๊อ,tW4
ตื๋อ,tW5
ตือฮวน,tW1 hV1n
